X1,word,cos_img,cos_word,animate
baby,apple,0.48918816325886705,0.680441741962048,mixed
ball,apple,0.491353209019932,0.7320114124539971,inanimate
bear,apple,0.621140241928753,0.646380825391453,mixed
block,apple,0.508780457711941,0.693275562874058,inanimate
book,apple,0.538675909774384,0.633430901059904,inanimate
bottle,apple,0.576777847358516,0.6866478983259039,inanimate
car,apple,0.5011178272167379,0.6487009847250931,inanimate
cat,apple,0.5158662833658729,0.6902151326007671,mixed
chair,apple,0.5426993729550179,0.7677488349054471,inanimate
cow,apple,0.5100263560294299,0.665662697096881,mixed
cup,apple,0.516150447567766,0.661705775296021,inanimate
dog,apple,0.474401219613171,0.679640040719969,mixed
duck,apple,0.508734437197794,0.6781432399255172,mixed
egg,apple,0.467978315776189,0.638270116017377,inanimate
elephant,apple,0.483636737101791,0.755678192077477,mixed
fish,apple,0.474745681200802,0.665826890837626,mixed
frog,apple,0.47852434384112297,0.71654415866426,mixed
giraffe,apple,0.498056992659709,0.8107957484747529,mixed
milk,apple,0.515007313922284,0.625786311342285,inanimate
monkey,apple,0.49393842950514705,0.6847376474915611,mixed
pig,apple,0.5526526703012211,0.721363790992571,mixed
puppy,apple,0.449326509479652,0.744145191932182,mixed
spoon,apple,0.47435888559857703,0.7352735781940591,inanimate
train,apple,0.483620347401253,0.7730746593819541,inanimate
truck,apple,0.497252604701502,0.734000529142277,inanimate
water,apple,0.516687790287068,0.670287173842922,inanimate
apple,baby,0.48918816325886705,0.680441741962048,mixed
ball,baby,0.41160406828357304,0.6065974773225921,mixed
bear,baby,0.467144765800935,0.474552600992129,animate
block,baby,0.51434778362121,0.663471121577598,mixed
book,baby,0.37245207851133005,0.5723447595571179,mixed
bottle,baby,0.537442433754624,0.539589053914456,mixed
car,baby,0.376725681892077,0.549120660976002,mixed
cat,baby,0.41363812004861494,0.5038105570407649,animate
chair,baby,0.39176996287637,0.6035386467703701,mixed
cow,baby,0.31034852402525703,0.532713536368497,animate
cup,baby,0.39600123329674997,0.6692297429746971,mixed
dog,baby,0.36698700750710206,0.44178742309320396,animate
duck,baby,0.37958745274290295,0.547269345993154,animate
egg,baby,0.346215053478073,0.552943808494025,mixed
elephant,baby,0.322115204711393,0.49828428226280297,animate
fish,baby,0.346636047036987,0.583805079094317,animate
frog,baby,0.298905303823398,0.534073666540778,animate
giraffe,baby,0.351484826590007,0.49352069029313506,animate
milk,baby,0.47888058993741206,0.525993531586265,mixed
monkey,baby,0.34095347903496603,0.468880193200302,animate
pig,baby,0.31970992132339,0.54457615060413,animate
puppy,baby,0.33352751606563596,0.46067316435357797,animate
spoon,baby,0.39566232503566495,0.681333079570026,mixed
train,baby,0.31584484573526694,0.613040781456591,mixed
truck,baby,0.35180079977455797,0.647510407149915,mixed
water,baby,0.509188804654299,0.596633773002218,mixed
apple,ball,0.491353209019932,0.7320114124539971,inanimate
baby,ball,0.41160406828357304,0.6065974773225921,mixed
bear,ball,0.5740304428713411,0.654980934275275,mixed
block,ball,0.498181372631775,0.588137544576351,inanimate
book,ball,0.412367549164678,0.648370587946098,inanimate
bottle,ball,0.538069191831728,0.5960292371553051,inanimate
car,ball,0.4193281204855,0.628312361253943,inanimate
cat,ball,0.40616490403734495,0.608058570431651,mixed
chair,ball,0.47123654999632597,0.591136164277265,inanimate
cow,ball,0.34075598504014193,0.663484560008631,mixed
cup,ball,0.425491006526303,0.6067255381370921,inanimate
dog,ball,0.37677011814392103,0.573543333407518,mixed
duck,ball,0.36936839623658396,0.636975663144064,mixed
egg,ball,0.391568140374772,0.621716243849917,inanimate
elephant,ball,0.391754396033614,0.678609466225522,mixed
fish,ball,0.337280286581207,0.6347783128410911,mixed
frog,ball,0.350193418091748,0.623174174401303,mixed
giraffe,ball,0.365755591041474,0.817702014358974,mixed
milk,ball,0.43674910668008604,0.702579291665013,inanimate
monkey,ball,0.370455330711735,0.585116148229737,mixed
pig,ball,0.41324730208174104,0.6420368237295601,mixed
puppy,ball,0.39987804327532395,0.681067525262153,mixed
spoon,ball,0.354941914098378,0.648129429296156,inanimate
train,ball,0.369792132886543,0.6088387792375389,inanimate
truck,ball,0.447059438803385,0.6515835546659611,inanimate
water,ball,0.484524636159314,0.588738910479983,inanimate
apple,bear,0.621140241928753,0.646380825391453,mixed
baby,bear,0.467144765800935,0.474552600992129,animate
ball,bear,0.5740304428713411,0.654980934275275,mixed
block,bear,0.5445134875733271,0.656716886765949,mixed
book,bear,0.547378102693647,0.6116525461336629,mixed
bottle,bear,0.5885649834616529,0.612709172735621,mixed
car,bear,0.558061807294707,0.6460422081354611,mixed
cat,bear,0.555525918228569,0.5021297659373379,animate
chair,bear,0.5605779964581801,0.675651978589855,mixed
cow,bear,0.362553882652747,0.5463131813449811,animate
cup,bear,0.565127135398023,0.750200028402165,mixed
dog,bear,0.5602539828904389,0.44995470796478704,animate
duck,bear,0.51119459777123,0.5015473702080989,animate
egg,bear,0.478064939866565,0.686835043677804,mixed
elephant,bear,0.419783236594584,0.44837190840998203,animate
fish,bear,0.509430293637911,0.5555005023938759,animate
frog,bear,0.44122719186193293,0.47863538020873,animate
giraffe,bear,0.480481719390595,0.5847205948281701,animate
milk,bear,0.5634671996899859,0.6671852448826779,mixed
monkey,bear,0.36048943645801,0.48490256637873097,animate
pig,bear,0.47036414016001893,0.522169910132819,animate
puppy,bear,0.295346911079491,0.5718194270875521,animate
spoon,bear,0.52423324954773,0.6991171457920191,mixed
train,bear,0.5036514244403489,0.6151393315700711,mixed
truck,bear,0.569456166689604,0.6135286623601109,mixed
water,bear,0.534052057850238,0.6109496476535461,mixed
apple,block,0.508780457711941,0.693275562874058,inanimate
baby,block,0.51434778362121,0.663471121577598,mixed
ball,block,0.498181372631775,0.588137544576351,inanimate
bear,block,0.5445134875733271,0.656716886765949,mixed
book,block,0.505423323312512,0.657595261561741,inanimate
bottle,block,0.517006568681011,0.683098138500192,inanimate
car,block,0.4712771742592029,0.648170329020319,inanimate
cat,block,0.513848513493426,0.6764561819500912,mixed
chair,block,0.515668265606136,0.706922112552915,inanimate
cow,block,0.398117851064457,0.737570176280369,mixed
cup,block,0.49311976094221505,0.778530167210445,inanimate
dog,block,0.47403715784176903,0.6906446861820971,mixed
duck,block,0.40908425523388603,0.708335448937898,mixed
egg,block,0.33273907840720096,0.7289404635459951,inanimate
elephant,block,0.4754603359946379,0.772600367527162,mixed
fish,block,0.40716881878740296,0.654983469420208,mixed
frog,block,0.46213878827235294,0.750788008203572,mixed
giraffe,block,0.43203386980699504,0.85058333647912,mixed
milk,block,0.512704264391532,0.750096763788757,inanimate
monkey,block,0.422810249514798,0.7150610091968141,mixed
pig,block,0.463421733671365,0.780739129637671,mixed
