word,overlap_count,image_count,word_count
apple,1,2,5
baby,0,5,4
ball,0,4,2
bear,2,4,7
block,0,6,3
book,0,4,5
bottle,2,3,5
car,1,1,2
cat,0,3,3
chair,0,3,4
cow,2,6,5
cup,1,3,5
dog,0,2,2
duck,1,2,6
egg,0,2,5
elephant,2,5,5
fish,2,5,5
frog,1,5,6
giraffe,3,5,5
milk,1,1,5
monkey,3,6,5
pig,1,4,5
puppy,0,5,3
spoon,0,3,5
train,1,2,3
truck,1,1,2
water,1,2,3
