X1,word,cos_img,cos_word,animate
apple,baby,0.4891881632588675,0.6760598421096802,mixed
apple,ball,0.49135320901993185,0.597752720117569,inanimate
apple,bear,0.6211402419287533,0.7293200194835663,mixed
apple,block,0.5087804577119415,0.7554081231355667,inanimate
apple,book,0.5386759097743838,0.5602741539478302,inanimate
apple,bottle,0.5767778473585168,0.5340219736099243,inanimate
apple,car,0.5011178272167387,0.6540070474147797,inanimate
apple,cat,0.5158662833658734,0.7342914044857025,mixed
apple,chair,0.5426993729550185,0.6048164367675781,inanimate
apple,cow,0.5100263560294303,0.7943886667490005,mixed
apple,cup,0.5161504475677658,0.5225942134857178,inanimate
apple,dog,0.4744012196131715,0.6695211827754974,mixed
apple,duck,0.508734437197794,0.6590118706226349,mixed
apple,egg,0.46797831577618987,0.499900758266449,inanimate
apple,elephant,0.48363673710179167,0.8836271166801453,mixed
apple,fish,0.4747456812008015,0.4951767921447754,mixed
apple,frog,0.4785243438411233,0.6428656876087189,mixed
apple,giraffe,0.49805699265970926,0.961308728903532,mixed
apple,milk,0.5150073139222846,0.4084416627883911,inanimate
apple,monkey,0.4939384295051469,0.7087408006191254,mixed
apple,pig,0.5526526703012214,0.7541262656450272,mixed
apple,puppy,0.4493265094796527,0.826375737786293,mixed
apple,spoon,0.4743588855985773,0.44461774826049805,inanimate
apple,train,0.4836203474012535,0.8651159256696701,inanimate
apple,truck,0.4972526047015019,0.6368301510810852,inanimate
apple,water,0.5166877902870682,0.5160824656486511,inanimate
baby,apple,0.4891881632588675,0.6760598421096802,mixed
baby,ball,0.41160406828357354,0.6060358881950378,mixed
baby,bear,0.4671447658009351,0.3205280303955078,animate
baby,block,0.51434778362121,0.7252804934978485,mixed
baby,book,0.3724520785113299,0.42319047451019287,mixed
baby,bottle,0.537442433754624,0.47151899337768555,mixed
baby,car,0.37672568189207667,0.5810805559158325,mixed
baby,cat,0.41363812004861467,0.5732010900974274,animate
baby,chair,0.39176996287637045,0.38649648427963257,mixed
baby,cow,0.3103485240252566,0.46691662073135376,animate
baby,cup,0.3960012332967502,0.6484290361404419,mixed
baby,dog,0.36698700750710234,0.5086504518985748,animate
baby,duck,0.37958745274290284,0.4205743670463562,animate
baby,egg,0.34621505347807346,0.5935576856136322,mixed
baby,elephant,0.32211520471139266,0.5949466824531555,animate
baby,fish,0.3466360470369867,0.6222427487373352,animate
baby,frog,0.29890530382339797,0.5825660526752472,animate
baby,giraffe,0.3514848265900077,0.5973708927631378,animate
baby,milk,0.47888058993741245,0.5321226119995117,mixed
baby,monkey,0.3409534790349661,0.556586503982544,animate
baby,pig,0.31970992132339016,0.41030269861221313,animate
