X1,word,cos_img,cos_word,animate,zscore_img,zscore_word
egg,apple,0.46797831577618987,0.6382701160173773,inanimate,-1.0863969849794335,-1.2683827288501546
elephant,bear,0.41978323659458416,0.44837190840998253,animate,-1.1292315133621598,-1.679540174763745
monkey,bear,0.36048943645801024,0.4849025663787311,animate,-1.9023485209043607,-1.2376549591781596
milk,bottle,0.2773766038789677,0.4717570482120069,inanimate,-3.048694383865855,-2.136325615347028
water,bottle,0.2762618952100675,0.4380249715697282,inanimate,-3.063573657794217,-2.6118389980829977
train,car,0.25974171932602497,0.49545632723655253,inanimate,-1.7443293978855035,-1.4974126590949857
truck,car,0.1886901020061188,0.2826718268750089,inanimate,-2.6598744782704395,-3.505298441210373
baby,chair,0.39176996287637045,0.6035386467703698,mixed,-1.2163775732476032,-1.9518257157774614
elephant,cow,0.24058531342819178,0.42953893748921246,animate,-1.3716121813788429,-1.2664079057950537
monkey,cow,0.2430196211295601,0.4449851454603053,animate,-1.341177816480092,-1.1338835814429682
egg,cup,0.37193344747510293,0.5324979681478228,inanimate,-1.0806561364790837,-1.5583064225864514
cow,duck,0.2751079733432732,0.48100223272912457,animate,-1.6605999904343283,-1.1576485409786212
fish,duck,0.29251714807588436,0.47419125975364085,animate,-1.3915048696184347,-1.2266268951068322
cow,egg,0.2618455737739449,0.5156491010845317,mixed,-1.9527481892569687,-1.0395319363507822
cow,elephant,0.24058531342819178,0.42953893748921246,animate,-1.9425162354271848,-1.2587173532809472
giraffe,elephant,0.30008454319329214,0.3227756668435333,animate,-1.0747353543889704,-2.07521544744561
duck,fish,0.29251714807588436,0.47419125975364085,animate,-1.044302192569601,-1.3884742240985941
pig,fish,0.28620563103727736,0.4940883933001251,animate,-1.1390771529711583,-1.1799987327523294
monkey,frog,0.29053294174038014,0.37466961936738075,animate,-1.1899459970393664,-1.8603304364571303
cow,giraffe,0.26621652529128237,0.5487148244519643,animate,-1.355745536665348,-1.1363476213536199
frog,giraffe,0.26046026812916745,0.5529950750226256,animate,-1.4364914348361342,-1.104969315622729
monkey,giraffe,0.27764539012910416,0.47383675872703435,animate,-1.1954271335064142,-1.685275026435797
bottle,milk,0.2773766038789677,0.4717570482120069,inanimate,-2.9081378963508953,-1.3399252207813301
water,milk,0.29369707054612637,0.46744661262262,inanimate,-2.6271822861288476,-1.3784791832606793
cow,monkey,0.2430196211295601,0.4449851454603053,animate,-1.7962115594518728,-1.191146937497653
frog,monkey,0.29053294174038014,0.37466961936738075,animate,-1.0941481030850624,-1.7640665737152808
pig,monkey,0.2884459040497921,0.41400163233398857,animate,-1.1249864632709083,-1.4435956363186617
cow,pig,0.28960337982475615,0.3032112492673358,animate,-1.2160673116200533,-2.1783633706808794
monkey,pig,0.2884459040497921,0.41400163233398857,animate,-1.2305796171895924,-1.3246463933104944
car,train,0.25974171932602497,0.49545632723655253,inanimate,-1.4928605701816102,-2.0942831818911753
truck,train,0.22673333304092935,0.4886605414463331,inanimate,-1.9381645624576747,-2.175406867449387
car,truck,0.1886901020061188,0.2826718268750089,inanimate,-2.6869664989481548,-3.830427569412422
train,truck,0.22673333304092935,0.4886605414463331,inanimate,-2.2194287602504796,-1.7834082231962038
bottle,water,0.2762618952100675,0.4380249715697282,inanimate,-2.9284826134117643,-2.0893799090870426
milk,water,0.29369707054612637,0.46744661262262,inanimate,-2.6506337092804064,-1.7527257343073137
