word,overlap_count,image_count,word_count
apple,1,1,4
baby,0,5,4
ball,0,4,2
bear,2,2,5
block,0,6,3
book,0,4,5
bottle,2,1,3
car,1,0,1
cat,0,3,3
chair,0,3,4
cow,2,4,3
cup,1,2,4
dog,0,2,2
duck,1,1,5
egg,0,2,5
elephant,2,3,3
fish,2,3,3
frog,1,4,5
giraffe,3,2,2
milk,1,0,4
monkey,3,3,2
pig,1,3,4
puppy,0,5,3
spoon,0,3,5
train,1,1,2
truck,1,0,1
water,1,1,2
